Date,Iprec[mm/h],WindS[m/s],WindDir[deg],RelHum[%],AirT[C],SWglobal[W/m2],TauCloudiness[-]
01/07/2007 0:00,0,0.3,22.5,95,9.2,0,0.720727
01/07/2007 1:00,0,0.2,337.5,97,9.2,0,0.748931
01/07/2007 2:00,0,0.1,315,96,9.9,0,0.777134
01/07/2007 3:00,0,0.4,22.5,95,9.1,0,0.805338
01/07/2007 4:00,0,0.1,337.5,98,9.2,0,0.833541
01/07/2007 5:00,0,0.4,270,96,9.2,0,0.861744
01/07/2007 6:00,0,0.3,292.5,97,8.8,24,0.889948
01/07/2007 7:00,0,0.4,157.5,88,10.7,221,0.918151
01/07/2007 8:00,0,1.2,135,78,12.9,452,0.946355
01/07/2007 9:00,0,1.7,111.5,74,14.1,554,0.946355
01/07/2007 10:00,0,1.8,111.5,70,15.3,671,0.85914
01/07/2007 11:00,0,1.6,135,66,16.2,643,0.85914
01/07/2007 12:00,0,1.9,135,57,18,917,0.85914
01/07/2007 13:00,0,1.9,111.5,56,17.7,478,0.475802
01/07/2007 14:00,0,1.6,111.5,56,18,418,0.475802
01/07/2007 15:00,0,2.2,111.5,57,18.3,631,0.744391
01/07/2007 16:00,0,2.6,90,58,18.2,642,0.744391
01/07/2007 17:00,0,3.2,90,63,17.1,309,0.744391
01/07/2007 18:00,0.2,2.3,90,75,15.4,49,0.744391
01/07/2007 19:00,0.4,0.4,135,92,13.9,12,0.715755
01/07/2007 20:00,0,0.4,0,94,13.2,0,0.68712
01/07/2007 21:00,0,0.3,22.5,95,12.3,0,0.658484
01/07/2007 22:00,0,0.2,45,95,12.1,0,0.629849
01/07/2007 23:00,0,0.3,22.5,96,12.1,0,0.601213
02/07/2007 0:00,0,0.2,45,96,11.9,0,0.572578
02/07/2007 1:00,0,0.2,67.5,97,11.8,0,0.543942
02/07/2007 2:00,0.2,0.4,180,100,12,0,0.515307
02/07/2007 3:00,0.4,0.3,135,100,11.8,0,0.486671
02/07/2007 4:00,5.6,1,247.5,96,10.8,0,0.458036
02/07/2007 5:00,0.2,0.2,292.5,99,10,0,0.4294
02/07/2007 6:00,3.8,0.4,67.5,100,10.1,3,0.400764
02/07/2007 7:00,0,1.2,135,100,10.3,31,0.372129
02/07/2007 8:00,0,0.9,157.5,100,10.8,113,0.343493
02/07/2007 9:00,0,1.5,135,98,11.4,267,0.343493
02/07/2007 10:00,0,2.4,135,92,12.7,436,0.47604
02/07/2007 11:00,0,2.9,90,86,13.6,392,0.47604
02/07/2007 12:00,0,3.1,90,82,14.1,384,0.47604
02/07/2007 13:00,0,2.7,90,78,14.7,394,0.289153
02/07/2007 14:00,0.4,2.9,111.5,82,13.4,152,0.289153
02/07/2007 15:00,2.4,1.4,337.5,90,11.1,80,0.048974
02/07/2007 16:00,4.6,0.7,67.5,97,10.2,23,0.048974
02/07/2007 17:00,4.4,0.9,22.5,99,9.6,10,0.048974
02/07/2007 18:00,1.6,0.6,337.5,99,9.6,28,0.048974
02/07/2007 19:00,0,0.9,315,96,9.5,59,0.082462
02/07/2007 20:00,0,1.3,315,92,9.1,12,0.11595
02/07/2007 21:00,0,1.3,270,93,8.6,0,0.149438
02/07/2007 22:00,0,0.9,270,94,7.5,0,0.182926
02/07/2007 23:00,0,0.7,315,95,7.1,0,0.216414
03/07/2007 0:00,0,1.3,315,93,7,0,0.249902
03/07/2007 1:00,0,0.7,315,92,6.9,0,0.283389
03/07/2007 2:00,0,1.1,315,88,6.9,0,0.316877
03/07/2007 3:00,0,1,292.5,87,6.8,0,0.350365
03/07/2007 4:00,0,1,0,89,6.5,0,0.383853
03/07/2007 5:00,0,0.6,315,88,6.5,2,0.417341
03/07/2007 6:00,0,0.2,337.5,92,6.1,23,0.450829
03/07/2007 7:00,0,0.5,45,78,9.2,235,0.484317
03/07/2007 8:00,0,0.4,270,70,10.9,255,0.517805
03/07/2007 9:00,0,0.7,90,76,11.2,291,0.517805
03/07/2007 10:00,0,1.4,135,73,12.2,612,0.575927
03/07/2007 11:00,0,1.8,135,75,12.8,410,0.575927
03/07/2007 12:00,0,2,135,74,13.8,439,0.575927
03/07/2007 13:00,0,3,90,71,13.5,317,0.330587
03/07/2007 14:00,0,3.1,90,71,13.3,305,0.330587
03/07/2007 15:00,0,2.2,90,74,12.9,157,0.216672
03/07/2007 16:00,0,2.1,90,76,12.7,153,0.216672
03/07/2007 17:00,0,2.2,90,79,12.6,134,0.216672
03/07/2007 18:00,0,2.3,90,82,12,30,0.216672
03/07/2007 19:00,0,1.7,90,86,11.6,7,0.204971
03/07/2007 20:00,0,1.5,111.5,90,11.1,2,0.193271
03/07/2007 21:00,0,1.7,111.5,93,10.8,0,0.181571
03/07/2007 22:00,0,1.7,111.5,93,10.7,0,0.169871
03/07/2007 23:00,0,0.9,135,94,10.3,0,0.158171
04/07/2007 0:00,0,0.5,180,96,10.2,0,0.14647
04/07/2007 1:00,0,1.2,90,92,10.3,0,0.13477
04/07/2007 2:00,0,1.4,157.5,92,10.2,0,0.12307
04/07/2007 3:00,0,0.9,0,95,10,0,0.11137
04/07/2007 4:00,0,0.4,202.5,96,9.8,0,0.09967
04/07/2007 5:00,0,0.3,22.5,97,9.7,0,0.087969
04/07/2007 6:00,0,0.8,135,98,9.9,14,0.076269
04/07/2007 7:00,1.2,1.9,90,97,9.9,30,0.064569
04/07/2007 8:00,5.8,1.4,22.5,91,8,12,0.052869
04/07/2007 9:00,4.4,1.2,0,93,7.2,49,0.052869
04/07/2007 10:00,0.8,0.7,270,91,7.8,194,0.550048
04/07/2007 11:00,0,1.6,0,79,9,472,0.550048
04/07/2007 12:00,0,1.6,202.5,69,12,818,0.550048
04/07/2007 13:00,0.2,2.3,337.5,68,10,303,0.184258
04/07/2007 14:00,2.4,1.6,0,91,5.7,51,0.184258
04/07/2007 15:00,0.2,0.9,90,95,6,87,0.104683
04/07/2007 16:00,0,0.7,135,97,5.6,71,0.104683
04/07/2007 17:00,0,0.8,270,89,6.2,61,0.104683
04/07/2007 18:00,0,0.6,90,85,6.8,119,0.104683
04/07/2007 19:00,0,1.1,90,78,6.7,82,0.162472
04/07/2007 20:00,0,0.7,315,83,5.3,12,0.22026
04/07/2007 21:00,0,0.9,22.5,83,4.4,0,0.278049
04/07/2007 22:00,0,1.2,315,69,4.9,0,0.335838
04/07/2007 23:00,0,1.4,270,55,6.3,0,0.393626
05/07/2007 0:00,0,1.3,337.5,56,5.7,0,0.451415
05/07/2007 1:00,0,1.9,292.5,48,7.1,0,0.509204
05/07/2007 2:00,0,1.2,315,58,5.3,0,0.566992
05/07/2007 3:00,0,0.8,67.5,65,4.4,0,0.624781
05/07/2007 4:00,0,0.8,67.5,68,4,0,0.68257
05/07/2007 5:00,0,0.6,315,69,3.5,2,0.740358
05/07/2007 6:00,0,1.1,90,66,4.6,42,0.798147
05/07/2007 7:00,0,1.8,90,48,8.4,284,0.855936
05/07/2007 8:00,0,2.1,22.5,40,10,525,0.913724
05/07/2007 9:00,0,2.2,247.5,41,10.1,523,0.913724
05/07/2007 10:00,0,1.7,45,43,10.7,415,0.497874
05/07/2007 11:00,0,3.5,225,46,9.8,394,0.497874
05/07/2007 12:00,0,2.2,337.5,57,9.4,499,0.497874
05/07/2007 13:00,1.6,2.4,225,68,7.6,274,0.578461
05/07/2007 14:00,0,1,225,70,9.4,812,0.578461
05/07/2007 15:00,0.4,2.7,45,62,8.3,260,0.651529
05/07/2007 16:00,0,1.5,225,66,10.1,608,0.651529
05/07/2007 17:00,0,1.9,315,51,11.1,441,0.651529
05/07/2007 18:00,0,1.5,315,55,10.2,131,0.651529
05/07/2007 19:00,0,1.7,0,56,9.4,63,0.668121
05/07/2007 20:00,0,1.2,0,60,8,10,0.684712
05/07/2007 21:00,0,0.9,315,66,7,0,0.701303
05/07/2007 22:00,0,1.1,0,69,6,0,0.717894
05/07/2007 23:00,0,1,292.5,67,5.9,0,0.734485
06/07/2007 0:00,0,1.1,315,61,5.8,0,0.751077
06/07/2007 1:00,0,0.9,315,58,6,0,0.767668
06/07/2007 2:00,0,1.2,337.5,57,6,0,0.784259
06/07/2007 3:00,0,1.8,315,53,7.2,0,0.80085
06/07/2007 4:00,0,2.6,337.5,55,6.5,0,0.817442
06/07/2007 5:00,0,2.2,337.5,58,5.5,0,0.834033
06/07/2007 6:00,0,1,337.5,60,5.6,16,0.850624
06/07/2007 7:00,0,1.7,0,51,8.1,242,0.867215
06/07/2007 8:00,0,1,22.5,45,10.7,452,0.883806
06/07/2007 9:00,0,1.1,45,37,12.9,483,0.883806
06/07/2007 10:00,0,1.9,270,41,14.5,692,0.698991
06/07/2007 11:00,0,1.7,270,42,14.9,565,0.698991
06/07/2007 12:00,0,3.6,225,43,15,542,0.698991
06/07/2007 13:00,0,2.8,225,44,15.5,431,0.683832
06/07/2007 14:00,0,3.5,225,43,17,856,0.683832
06/07/2007 15:00,0,3,247.5,38,18,999,0.864329
06/07/2007 16:00,0,3,270,37,17.6,575,0.864329
06/07/2007 17:00,0,3.1,225,37,17.6,436,0.864329
06/07/2007 18:00,0,2.5,247.5,36,17.7,323,0.864329
06/07/2007 19:00,0,2.2,90,46,16.3,87,0.87402
06/07/2007 20:00,0,1.2,90,78,12.7,14,0.883711
06/07/2007 21:00,0,0.9,337.5,85,11,0,0.893402
06/07/2007 22:00,0,0.8,0,88,9.7,0,0.903092
06/07/2007 23:00,0,0.7,0,91,9.2,0,0.912783
07/07/2007 0:00,0,0.5,315,92,8.7,0,0.922474
07/07/2007 1:00,0,0.7,337.5,84,8.7,0,0.932165
07/07/2007 2:00,0,0.5,337.5,80,8.2,0,0.941855
07/07/2007 3:00,0,0.5,45,77,7.9,0,0.951546
07/07/2007 4:00,0,0.6,45,70,8.6,0,0.961237
07/07/2007 5:00,0,0.8,292.5,65,9.3,0,0.970928
07/07/2007 6:00,0,0.6,0,65,9.4,14,0.980618
07/07/2007 7:00,0,0.9,22.5,54,12.8,244,0.990309
07/07/2007 8:00,0,1.7,67.5,43,15.6,452,1
07/07/2007 9:00,0,3.5,225,36,17.2,635,1
07/07/2007 10:00,0,3.3,225,35,18.1,804,0.972697
07/07/2007 11:00,0,2.4,270,36,18.7,812,0.972697
07/07/2007 12:00,0,2.3,247.5,32,19.7,955,0.972697
07/07/2007 13:00,0,2.1,67.5,31,20,898,0.963599
07/07/2007 14:00,0,1.8,247.5,30,21.3,987,0.963599
07/07/2007 15:00,0,2.1,45,35,21.5,929,0.869819
07/07/2007 16:00,0,3.4,90,45,20.5,776,0.869819
07/07/2007 17:00,0,3,90,55,18.7,331,0.869819
07/07/2007 18:00,0,3,67.5,67,17,108,0.869819
07/07/2007 19:00,0,2.3,67.5,75,15.9,52,0.879118
07/07/2007 20:00,0,2,90,82,15,10,0.888416
07/07/2007 21:00,0,1.1,111.5,86,14.3,0,0.897715
07/07/2007 22:00,0,0.8,135,89,13.9,0,0.907014
07/07/2007 23:00,0,0.7,135,91,13.4,0,0.916312
08/07/2007 0:00,0,0.4,45,94,12.9,0,0.925611
08/07/2007 1:00,0,0.4,45,95,12.6,0,0.934909
08/07/2007 2:00,0,0.4,135,96,12.4,0,0.944208
08/07/2007 3:00,0,0.2,90,98,12.3,0,0.953507
08/07/2007 4:00,0,0.4,22.5,93,11.9,0,0.962805
08/07/2007 5:00,0,0.3,45,93,11.6,0,0.972104
08/07/2007 6:00,0,0.4,22.5,93,11.4,31,0.981403
08/07/2007 7:00,0,0.5,67.5,85,13.1,225,0.990701
08/07/2007 8:00,0,1,111.5,74,15,441,1
08/07/2007 9:00,0,1.4,111.5,63,16.8,668,1
08/07/2007 10:00,0,1.9,111.5,53,18.3,865,0.936539
08/07/2007 11:00,0,1.9,135,48,18.8,718,0.936539
08/07/2007 12:00,0,1.7,225,42,20.4,933,0.936539
08/07/2007 13:00,0,2.2,225,43,20.6,912,0.656522
08/07/2007 14:00,0,1.9,90,52,19,331,0.656522
08/07/2007 15:00,0,2.3,111.5,54,19.1,506,0.342128
08/07/2007 16:00,0,2.7,90,62,17.7,220,0.342128
08/07/2007 17:00,2.8,1.4,67.5,83,15.2,56,0.342128
08/07/2007 18:00,2.4,0.9,67.5,94,13.5,14,0.342128
08/07/2007 19:00,1.8,0.8,157.5,99,13.1,24,0.343724
08/07/2007 20:00,0,0.2,337.5,100,13.3,3,0.345321
08/07/2007 21:00,0,0.1,111.5,100,13.1,0,0.346917
08/07/2007 22:00,0,0.3,315,100,12.8,0,0.348514
08/07/2007 23:00,0,0.2,0,100,12.6,0,0.35011
09/07/2007 0:00,0,0.1,180,100,12.2,0,0.351707
09/07/2007 1:00,0,0.2,67.5,100,12,0,0.353303
09/07/2007 2:00,0,0.2,315,100,12.1,0,0.3549
09/07/2007 3:00,0,0.1,180,100,12.1,0,0.356496
09/07/2007 4:00,4.2,0.4,225,100,12.1,0,0.358093
09/07/2007 5:00,4,1.2,90,96,10.4,0,0.359689
09/07/2007 6:00,0.6,0.8,0,98,9.9,3,0.361285
09/07/2007 7:00,4.6,0.7,292.5,100,10,3,0.362882
09/07/2007 8:00,3,0.8,315,98,10.4,80,0.364478
09/07/2007 9:00,0,0.8,45,91,11.7,331,0.364478
09/07/2007 10:00,0,1.4,135,85,12.6,434,0.40508
09/07/2007 11:00,0,1.2,135,84,12.9,265,0.40508
09/07/2007 12:00,1.6,1.2,135,92,12.5,314,0.40508
09/07/2007 13:00,0,2.4,111.5,85,13.4,582,0.411828
09/07/2007 14:00,1.4,2.4,111.5,90,12.7,192,0.411828
09/07/2007 15:00,4,2.4,90,97,11.5,103,0.195205
09/07/2007 16:00,1.6,2.6,90,97,11.3,119,0.195205
09/07/2007 17:00,0,2.5,111.5,97,11.1,157,0.195205
09/07/2007 18:00,0,1.4,135,97,10.9,71,0.195205
09/07/2007 19:00,2.8,1.9,90,98,10.7,37,0.217271
09/07/2007 20:00,0,2.4,111.5,96,10,2,0.239337
09/07/2007 21:00,0.4,3.7,0,89,6.4,0,0.261402
09/07/2007 22:00,3,1.8,292.5,91,4.9,0,0.283468
09/07/2007 23:00,1.2,1.6,315,94,4.2,0,0.305533
10/07/2007 0:00,0,1.2,0,94,4.4,0,0.327599
10/07/2007 1:00,0.6,1,0,94,4.5,0,0.349665
10/07/2007 2:00,1.4,0.8,22.5,94,4.4,0,0.37173
10/07/2007 3:00,2,1.5,225,92,4,0,0.393796
10/07/2007 4:00,0.2,0.9,0,94,4,0,0.415862
10/07/2007 5:00,0.8,1.1,337.5,90,4,0,0.437927
10/07/2007 6:00,1,1,315,94,3.3,2,0.459993
10/07/2007 7:00,0.6,1.1,90,92,3.8,65,0.482058
10/07/2007 8:00,0,1.3,135,87,5.2,256,0.504124
10/07/2007 9:00,0,1.6,337.5,82,5.4,263,0.504124
10/07/2007 10:00,0.2,1.5,247.5,71,7.4,603,0.925643
10/07/2007 11:00,0,1.8,292.5,61,9,891,0.925643
10/07/2007 12:00,0,1.7,225,42,20.4,933,0.925643
10/07/2007 13:00,0,2.2,225,43,20.6,912,0.789838
10/07/2007 14:00,0,1.9,90,49,10.5,583,0.789838
10/07/2007 15:00,0,1.7,337.5,49,11,439,0.540986
10/07/2007 16:00,0,1.6,67.5,45,10.8,434,0.540986
10/07/2007 17:00,0,1.9,337.5,51,10.1,275,0.540986
10/07/2007 18:00,0,2.1,315,52,9.5,195,0.540986
10/07/2007 19:00,0,2,0,54,8.8,84,0.558984
10/07/2007 20:00,0,1.3,45,64,7.6,10,0.576981
10/07/2007 21:00,0,1.3,45,78,6,0,0.594978
10/07/2007 22:00,0,1.3,0,84,4.8,0,0.612976
10/07/2007 23:00,0,1.2,292.5,78,5,0,0.630973
11/07/2007 0:00,0,1.2,270,70,5.2,0,0.648971
11/07/2007 1:00,0,1.3,0,73,4.4,0,0.666968
11/07/2007 2:00,0,1,0,73,4.6,0,0.684965
11/07/2007 3:00,0,1.2,0,75,4.4,0,0.702963
11/07/2007 4:00,0,1.3,0,74,4.3,0,0.72096
11/07/2007 5:00,0,1.1,315,75,4,0,0.738958
11/07/2007 6:00,0,1.3,337.5,72,4,23,0.756955
11/07/2007 7:00,0,1.2,315,68,4.9,150,0.774952
11/07/2007 8:00,0,1.2,337.5,47,8.5,455,0.79295
11/07/2007 9:00,0,1.7,0,47,8.8,364,0.79295
11/07/2007 10:00,0,1.5,22.5,44,8.9,298,0.414925
11/07/2007 11:00,0,1.6,225,46,9.4,350,0.414925
11/07/2007 12:00,0,1.6,202.5,43,10.2,445,0.414925
11/07/2007 13:00,0,1.3,0,47,10.3,295,0.557432
11/07/2007 14:00,0,1.8,337.5,53,10.8,753,0.557432
11/07/2007 15:00,0,1.9,292.5,54,10.3,635,0.738697
11/07/2007 16:00,0,1.7,337.5,46,11.2,556,0.738697
11/07/2007 17:00,0,1.6,315,53,10.3,377,0.738697
11/07/2007 18:00,0,1.2,270,54,10.3,153,0.738697
11/07/2007 19:00,0,1.4,337.5,61,8.2,31,0.75254
11/07/2007 20:00,0,1.1,0,66,7.4,10,0.766382
11/07/2007 21:00,0,1.2,0,66,6.4,0,0.780225
11/07/2007 22:00,0,1.1,315,66,6,0,0.794067
11/07/2007 23:00,0,1.1,315,63,6,0,0.80791
12/07/2007 0:00,0,0.9,315,66,6,0,0.821752
12/07/2007 1:00,0,0.9,225,63,6.7,0,0.835594
12/07/2007 2:00,0,1.2,315,65,6.1,0,0.849437
12/07/2007 3:00,0,1.2,315,68,5.2,0,0.863279
12/07/2007 4:00,0,1.3,315,68,5.4,0,0.877122
12/07/2007 5:00,0,1.2,45,67,5.9,2,0.890964
12/07/2007 6:00,0,1.2,292.5,64,6.7,44,0.904807
12/07/2007 7:00,0,1.5,22.5,58,8,162,0.918649
12/07/2007 8:00,0,1.3,67.5,51,10.5,382,0.932491
12/07/2007 9:00,0,1.2,45,40,12.3,615,0.932491
12/07/2007 10:00,0,1.5,67.5,44,12.8,582,0.612638
12/07/2007 11:00,0,1.4,292.5,41,12.7,446,0.612638
12/07/2007 12:00,0,1.4,135,40,13.6,547,0.612638
12/07/2007 13:00,0,2.1,225,40,13.9,472,0.554821
12/07/2007 14:00,0,2.3,247.5,37,14.1,579,0.554821
12/07/2007 15:00,0,2.5,225,35,15.1,617,0.90969
12/07/2007 16:00,0,2,90,42,15.1,720,0.90969
12/07/2007 17:00,0,1.9,135,53,14.3,544,0.90969
12/07/2007 18:00,0,1.9,90,62,12.8,258,0.90969
12/07/2007 19:00,0,1.6,67.5,71,11.5,65,0.911992
12/07/2007 20:00,0,1.1,0,81,10.1,14,0.914294
12/07/2007 21:00,0,1,0,87,8.9,0,0.916596
12/07/2007 22:00,0,1,45,90,8.8,0,0.918897
12/07/2007 23:00,0,1,0,90,8.5,0,0.921199
13/07/2007 0:00,0,1.1,337.5,89,8.7,0,0.923501
13/07/2007 1:00,0,1,0,88,8.4,0,0.925803
13/07/2007 2:00,0,1.1,315,84,7.7,0,0.928104
13/07/2007 3:00,0,0.8,315,82,7.1,0,0.930406
13/07/2007 4:00,0,1,337.5,81,6.8,0,0.932708
13/07/2007 5:00,0,0.9,45,85,6.2,0,0.93501
13/07/2007 6:00,0,1.2,315,80,6.9,17,0.937311
13/07/2007 7:00,0,1.3,0,68,9.8,209,0.939613
13/07/2007 8:00,0,1,22.5,57,13,418,0.941915
13/07/2007 9:00,0,1.5,111.5,58,13.5,558,0.941915
13/07/2007 10:00,0,1.7,111.5,49,15.5,779,0.985
13/07/2007 11:00,0,1.7,111.5,44,16.9,933,0.985
13/07/2007 12:00,0,1.9,111.5,41,17.7,900,0.985
13/07/2007 13:00,0,1.9,337.5,33,18.8,870,0.951808
13/07/2007 14:00,0,1.7,315,36,19.5,969,0.951808
13/07/2007 15:00,0,1.6,22.5,31,20.2,905,0.972585
13/07/2007 16:00,0,1.7,90,37,20.4,741,0.972585
13/07/2007 17:00,0,1.9,111.5,52,18.1,495,0.972585
13/07/2007 18:00,0,2.2,67.5,62,16.6,347,0.972585
13/07/2007 19:00,0,1.8,67.5,77,14.3,26,0.974543
13/07/2007 20:00,0,1.2,22.5,88,12.5,9,0.976502
13/07/2007 21:00,0,1,22.5,92,11.6,0,0.97846
13/07/2007 22:00,0,0.7,22.5,92,11.5,0,0.980418
13/07/2007 23:00,0,1,22.5,95,10.8,0,0.982376
14/07/2007 0:00,0,0.9,337.5,92,10.3,0,0.984334
14/07/2007 1:00,0,0.7,315,92,10,0,0.986293
14/07/2007 2:00,0,0.9,22.5,89,10.5,0,0.988251
14/07/2007 3:00,0,1,270,87,11,0,0.990209
14/07/2007 4:00,0,1,270,88,10.9,0,0.992167
14/07/2007 5:00,0,1.3,292.5,87,10.8,0,0.994125
14/07/2007 6:00,0,1.3,45,87,11.2,14,0.996084
14/07/2007 7:00,0,1.8,337.5,76,13.7,221,0.998042
14/07/2007 8:00,0,1.8,0,67,16,432,1
14/07/2007 9:00,0,1.7,111.5,62,17.5,607,1
14/07/2007 10:00,0,1.5,135,55,19.4,764,1
14/07/2007 11:00,0,1.8,135,45,20.5,879,1
14/07/2007 12:00,0,1.9,135,44,21.6,978,1
14/07/2007 13:00,0,2,111.5,37,22.6,1016,1
14/07/2007 14:00,0,2,111.5,43,23.1,929,1
14/07/2007 15:00,0,1.9,111.5,43,23.1,816,0.691569
14/07/2007 16:00,0,1.8,90,47,22,389,0.691569
14/07/2007 17:00,0,1.8,67.5,51,21.4,282,0.691569
14/07/2007 18:00,0,2,67.5,56,20.8,291,0.691569
14/07/2007 19:00,0,1.5,67.5,69,18.6,31,0.713233
14/07/2007 20:00,0,1.1,0,81,16.3,5,0.734896
14/07/2007 21:00,0,1,45,89,14.9,0,0.75656
14/07/2007 22:00,0,0.9,0,93,14.2,0,0.778224
14/07/2007 23:00,0,1,22.5,94,13.6,0,0.799887
15/07/2007 0:00,0,1.1,337.5,96,13.4,0,0.821551
15/07/2007 1:00,0,0.9,315,92,13.6,0,0.843214
15/07/2007 2:00,0,0.9,315,87,14,0,0.864878
15/07/2007 3:00,0,1.1,270,81,14.7,0,0.886541
15/07/2007 4:00,0,1.4,315,81,14.4,0,0.908205
15/07/2007 5:00,0,1.1,315,83,14.2,0,0.929869
15/07/2007 6:00,0,1.5,292.5,79,14.6,17,0.951532
15/07/2007 7:00,0,1.4,0,69,16.9,227,0.973196
15/07/2007 8:00,0,1.2,22.5,64,18.8,417,0.994859
15/07/2007 9:00,0,1.3,135,58,20.3,594,0.994859
15/07/2007 10:00,0,1.8,135,55,21.2,762,1
15/07/2007 11:00,0,2.1,135,44,22.4,879,1
15/07/2007 12:00,0,2.3,111.5,32,23.2,961,1
15/07/2007 13:00,0,2.5,111.5,28,23.4,1001,1
15/07/2007 14:00,0,2.3,111.5,24,23.7,968,1
15/07/2007 15:00,0,2.5,111.5,23,23.8,884,1
15/07/2007 16:00,0,2.3,90,24,23.5,750,1
15/07/2007 17:00,0,2.2,135,25,23,556,1
15/07/2007 18:00,0,2,111.5,33,21.7,293,1
15/07/2007 19:00,0,2,67.5,49,19.1,31,1
15/07/2007 20:00,0,1.1,0,59,16.6,5,1
15/07/2007 21:00,0,1.1,0,68,14.8,0,1
15/07/2007 22:00,0,1,22.5,74,13.8,0,1
15/07/2007 23:00,0,1,22.5,79,13.2,0,1
16/07/2007 0:00,0,0.9,0,84,12.8,0,1
16/07/2007 1:00,0,1,337.5,88,12.6,0,1
16/07/2007 2:00,0,1,315,91,12.2,0,1
16/07/2007 3:00,0,0.8,337.5,91,11.9,0,1
16/07/2007 4:00,0,0.9,0,92,11.4,0,1
16/07/2007 5:00,0,1.1,315,88,11.7,0,1
16/07/2007 6:00,0,1.1,292.5,84,12.7,14,1
16/07/2007 7:00,0,1.2,90,70,14.7,230,1
16/07/2007 8:00,0,1.2,111.5,64,17.5,445,1
16/07/2007 9:00,0,1.7,111.5,43,19.4,626,1
16/07/2007 10:00,0,1.8,111.5,38,20.6,776,1
16/07/2007 11:00,0,1.8,111.5,35,21.8,893,1
16/07/2007 12:00,0,1.7,111.5,34,22.8,961,1
16/07/2007 13:00,0,2,111.5,35,23.3,985,1
16/07/2007 14:00,0,2.2,111.5,34,23.6,954,1
16/07/2007 15:00,0,2,90,35,23.9,865,1
16/07/2007 16:00,0,2.4,111.5,39,23.5,736,1
16/07/2007 17:00,0,2.3,90,41,23,572,1
16/07/2007 18:00,0,2.4,90,48,21.7,317,1
16/07/2007 19:00,0,2.3,67.5,61,19.5,26,0.998495
16/07/2007 20:00,0,1.3,0,73,16.9,5,0.996989
16/07/2007 21:00,0,1.2,22.5,80,15,0,0.995484
16/07/2007 22:00,0,1.3,0,85,13.9,0,0.993978
16/07/2007 23:00,0,1.3,315,87,13.3,0,0.992473
17/07/2007 0:00,0,1.3,0,79,12.9,0,0.990967
17/07/2007 1:00,0,1.2,22.5,67,12.5,0,0.989462
17/07/2007 2:00,0,1.5,337.5,65,13,0,0.987956
17/07/2007 3:00,0,1.5,315,60,12.7,0,0.986451
17/07/2007 4:00,0,1.5,337.5,53,13.6,0,0.984945
17/07/2007 5:00,0,1.4,337.5,53,13.4,0,0.98344
17/07/2007 6:00,0,1.4,315,53,13.9,26,0.981934
17/07/2007 7:00,0,1.5,292.5,48,16.2,209,0.980429
17/07/2007 8:00,0,1.4,315,45,18.6,410,0.978923
17/07/2007 9:00,0,1.4,0,36,20.8,593,0.978923
17/07/2007 10:00,0,1.8,135,31,21.6,748,0.991604
17/07/2007 11:00,0,2.2,111.5,31,22.3,866,0.991604
17/07/2007 12:00,0,2.4,111.5,33,23.1,922,0.991604
17/07/2007 13:00,0,2.5,111.5,35,23.6,872,0.920099
17/07/2007 14:00,0,2.3,111.5,35,24.2,839,0.920099
17/07/2007 15:00,0,2.3,90,35,24.5,840,1
17/07/2007 16:00,0,2.4,111.5,37,24.3,720,1
17/07/2007 17:00,0,2.5,90,42,23.8,551,1
17/07/2007 18:00,0,2.2,111.5,47,22.5,302,1
17/07/2007 19:00,0,1.7,135,56,20.5,33,0.999403
17/07/2007 20:00,0,1.4,315,66,18,7,0.998806
17/07/2007 21:00,0,1.2,22.5,76,16.3,0,0.998208
17/07/2007 22:00,0,1.1,45,84,15,0,0.997611
17/07/2007 23:00,0,1,337.5,88,14.6,0,0.997014
18/07/2007 0:00,0,1.1,0,92,14.1,0,0.996417
18/07/2007 1:00,0,0.9,337.5,93,13.6,0,0.99582
18/07/2007 2:00,0,1.2,337.5,90,13.3,0,0.995222
18/07/2007 3:00,0,1,22.5,78,13.1,0,0.994625
18/07/2007 4:00,0,1.5,90,67,13.9,0,0.994028
18/07/2007 5:00,0,1.3,315,69,13.9,0,0.993431
18/07/2007 6:00,0,1.5,315,65,14.8,17,0.992834
18/07/2007 7:00,0,1.7,0,56,17.2,214,0.992236
18/07/2007 8:00,0,2.3,22.5,50,19,413,0.991639
18/07/2007 9:00,0,2.4,22.5,41,20.9,593,0.991639
18/07/2007 10:00,0,1.7,135,34,23.6,741,0.985808
18/07/2007 11:00,0,2.1,270,30,24.3,846,0.985808
18/07/2007 12:00,0,2.2,90,32,24.9,920,0.985808
18/07/2007 13:00,0,2,270,27,25.2,959,1
18/07/2007 14:00,0,2.4,270,26,25.6,933,1
18/07/2007 15:00,0,2.5,67.5,24,26.1,847,1
18/07/2007 16:00,0,2.4,315,21,25.8,718,1
18/07/2007 17:00,0,1.8,315,26,25.6,563,1
18/07/2007 18:00,0,1.7,90,32,24.1,298,1
18/07/2007 19:00,0,1.5,90,46,20.9,38,0.998369
18/07/2007 20:00,0,1.3,22.5,58,18.4,9,0.996738
18/07/2007 21:00,0,1.2,0,69,16.8,0,0.995107
18/07/2007 22:00,0,1,0,77,15.6,0,0.993476
18/07/2007 23:00,0,1.2,22.5,82,15,0,0.991845
19/07/2007 0:00,0,1.1,67.5,86,14,0,0.990214
